lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw
33800.0,Hinchinbrook,False,5622.0,5789.0,5813.0,5830.0,5836.0,5833.0
33830.0,Hope Vale,False,332.0,357.0,367.0,373.0,378.0,382.0
33960.0,Ipswich,True,86758.0,103934.0,125811.0,152522.0,181038.0,209404.0
33980.0,Isaac,False,10327.0,10709.0,11053.0,11462.0,11889.0,12338.0
34420.0,Kowanyama,False,294.0,314.0,332.0,348.0,358.0,364.0
34530.0,Livingstone,False,16708.0,18355.0,20768.0,22981.0,24745.0,25852.0
34570.0,Lockhart River,False,214.0,214.0,214.0,214.0,214.0,214.0
34580.0,Lockyer Valley,True,15924.0,17317.0,18621.0,19974.0,21360.0,22768.0
34590.0,Logan,True,125200.0,143622.0,161633.0,178428.0,189914.0,199142.0
34710.0,Longreach,False,1797.0,1827.0,1834.0,1813.0,1773.0,1726.0
34770.0,Mackay,False,50596.0,54133.0,57589.0,60986.0,63998.0,66845.0
34800.0,McKinlay,False,340.0,355.0,365.0,361.0,354.0,347.0
34830.0,Mapoon,False,105.0,112.0,117.0,119.0,123.0,127.0
34860.0,Maranoa,False,6154.0,6235.0,6250.0,6218.0,6146.0,6056.0
34880.0,Mareeba,False,9338.0,9922.0,10484.0,10921.0,11257.0,11530.0
35010.0,Moreton Bay,True,186039.0,218348.0,248249.0,275248.0,301419.0,327578.0
35250.0,Mornington,False,349.0,354.0,354.0,354.0,351.0,346.0
35300.0,Mount Isa,False,8030.0,8219.0,8288.0,8338.0,8332.0,8293.0
35600.0,Murweh,False,2077.0,2072.0,2048.0,2026.0,1981.0,1929.0
35670.0,Napranum,False,261.0,270.0,277.0,282.0,286.0,290.0
35740.0,Noosa,True,28141.0,29829.0,30761.0,31535.0,32245.0,32883.0
35760.0,North Burnett,False,5140.0,5232.0,5271.0,5330.0,5373.0,5408.0
35780.0,Northern Peninsula Area,False,806.0,842.0,862.0,883.0,913.0,930.0
35790.0,Palm Island,False,517.0,552.0,595.0,669.0,778.0,926.0
35800.0,Paroo,False,989.0,981.0,969.0,959.0,939.0,915.0
36070.0,Pormpuraaw,False,229.0,240.0,250.0,260.0,266.0,269.0
36150.0,Quilpie,False,412.0,410.0,405.0,401.0,393.0,383.0
36250.0,Redland,True,64740.0,70547.0,74718.0,77890.0,80301.0,81411.0
36300.0,Richmond,False,368.0,380.0,390.0,386.0,378.0,370.0
36370.0,Rockhampton,False,35144.0,36546.0,38117.0,39602.0,40834.0,42178.0
36510.0,Scenic Rim,True,17992.0,19773.0,21399.0,22511.0,23325.0,23952.0
36580.0,Somerset,True,10710.0,11411.0,12285.0,13166.0,14063.0,14974.0
36630.0,South Burnett,False,15666.0,16298.0,17011.0,17731.0,18411.0,19080.0
36660.0,Southern Downs,False,17037.0,17450.0,17986.0,18406.0,18612.0,18685.0
36720.0,Sunshine Coast,True,145694.0,165627.0,183829.0,201850.0,218561.0,234421.0
36820.0,Tablelands,False,12181.0,12935.0,13613.0,14242.0,14808.0,15330.0
36910.0,Toowoomba,True,73081.0,76947.0,81202.0,85039.0,88193.0,90962.0
36950.0,Torres,False,1188.0,1231.0,1267.0,1295.0,1304.0,1300.0
36960.0,Torres Strait Island,False,1279.0,1315.0,1314.0,1312.0,1295.0,1269.0
37010.0,Townsville,False,81634.0,86678.0,92875.0,98984.0,104590.0,109524.0
37300.0,Weipa,False,1670.0,1689.0,1695.0,1705.0,1706.0,1702.0
37310.0,Western Downs,False,15566.0,16076.0,16605.0,16909.0,17030.0,17031.0
37340.0,Whitsunday,False,15919.0,17181.0,18438.0,19684.0,20901.0,22117.0
37400.0,Winton,False,637.0,646.0,637.0,630.0,615.0,597.0
37550.0,Woorabinda,False,304.0,322.0,330.0,338.0,346.0,354.0
37570.0,Wujal Wujal,False,89.0,103.0,106.0,108.0,109.0,109.0
37600.0,Yarrabah,False,454.0,503.0,553.0,615.0,685.0,762.0
,,,,,,,,
,,,,,,,,
